"Country or Area","Year","Unit","Value","Value Footnotes"
"Brazil","2002","Metric tons","16070.092",""
"Brazil","2002","Mil. USD","18.2520188043713",""
"Brazil","2001","Metric tons","15910.452",""
"Brazil","2001","Mil. USD","12.5837359017408",""
"Brazil","2000","Metric tons","22494.174",""
"Brazil","2000","Mil. USD","32.1874312097879",""
"Bulgaria","2009","Metric tons","1299",""
"Bulgaria","2007","Metric tons","1307",""
"Bulgaria","2007","Mil. USD","12.5957804135615",""
"Bulgaria","2006","Metric tons","1881",""
"Bulgaria","2006","Mil. USD","15.3918508700671",""
"Bulgaria","2005","Metric tons","4331",""
"Bulgaria","2005","Mil. USD","29.2224292732509",""
"Bulgaria","2004","Metric tons","1336",""
"Bulgaria","2004","Mil. USD","7.61852077213495",""
"Bulgaria","2003","Metric tons","346",""
"Bulgaria","2003","Mil. USD","1.73140019295493",""
"Bulgaria","2002","Metric tons","380",""
"Bulgaria","2002","Mil. USD","1.44440833423609",""
"Bulgaria","2001","Metric tons","266",""
"Bulgaria","2001","Mil. USD","0.91545400797208",""
"Bulgaria","2000","Metric tons","117",""
"Bulgaria","2000","Mil. USD","0.470970552566201",""
"Bulgaria","1999","Metric tons","109",""
"Bulgaria","1999","Mil. USD","0.44108437780783",""
"Bulgaria","1998","Metric tons","165",""
"Bulgaria","1998","Mil. USD","0.568066160772192",""
"Canada","2016","Mil. USD","18.5604396831146",""
"Canada","2015","Mil. USD","8.31288991503431",""
"Canada","2014","Mil. USD","7.53364320917455",""
"Canada","2013","Mil. USD","11.4061362624271",""
"Canada","2012","Mil. USD","37.5754998849292",""
"Canada","2011","Mil. USD","22.897723536268",""
"Canada","2010","Mil. USD","17.5613022517938",""
"Chile","2016","Metric tons","541.272",""
"Chile","2016","Mil. USD","3.89656731745567",""
"Chile","2015","Metric tons","619.061",""
"Chile","2015","Mil. USD","4.06351342779934",""
"Chile","2014","Metric tons","7.743",""
"Chile","2014","Mil. USD","0.132804833717091",""
"Chile","2013","Metric tons","21.25806",""
"Chile","2013","Mil. USD","0.436942965761952",""
"Chile","2012","Metric tons","49",""
"Chile","2012","Mil. USD","0.519985440029831",""
"Chile","2011","Metric tons","69",""
"Chile","2011","Mil. USD","0.631268367348806",""
"Chile","2010","Metric tons","186.085",""
"Chile","2010","Mil. USD","2.03103320436584",""
"Chile","2009","Metric tons","146.36",""
"Chile","2009","Mil. USD","1.7748568031981",""
"Chile","2008","Metric tons","700.635",""
"Chile","2008","Mil. USD","5.39465109681234",""
"Chile","2007","Metric tons","2140.554",""
"Chile","2007","Mil. USD","14.8620852785757",""
"Chile","2006","Metric tons","2068.961",""
"Chile","2006","Mil. USD","13.9646002983428",""
"Chile","2005","Metric tons","2476.222",""
"Chile","2005","Mil. USD","15.3265842217262",""
"China","1998","Metric tons","5420000",""
"China","1997","Metric tons","5598300",""
"China","1996","Metric tons","5122100",""
"China","1995","Metric tons","5422000",""
"China, Macao Special Administrative Region","2003","Metric tons","397",""
"China, Macao Special Administrative Region","2003","Mil. USD","2.99205565589216",""
"China, Macao Special Administrative Region","2001","Metric tons","6236",""
"China, Macao Special Administrative Region","2001","Mil. USD","47.5508806871227",""
"China, Macao Special Administrative Region","2000","Metric tons","6252",""
"China, Macao Special Administrative Region","2000","Mil. USD","49.5894541422146",""
"China, Macao Special Administrative Region","1999","Metric tons","4957",""
"China, Macao Special Administrative Region","1999","Mil. USD","40.6664289244668",""
"China, Macao Special Administrative Region","1998","Metric tons","3246",""
"China, Macao Special Administrative Region","1998","Mil. USD","30.5811675154472",""
"China, Macao Special Administrative Region","1997","Metric tons","9719",""
"China, Macao Special Administrative Region","1997","Mil. USD","43.3839932708835",""
"China, Macao Special Administrative Region","1996","Metric tons","9494",""
"China, Macao Special Administrative Region","1996","Mil. USD","38.2858003615184",""
"Croatia","2016","Metric tons","11",""
"Croatia","2016","Mil. USD","0","3"
"Croatia","2015","Metric tons","15",""
"Croatia","2014","Metric tons","17",""
"Croatia","2013","Metric tons","12",""
"Croatia","2012","Metric tons","13",""
"Croatia","2011","Metric tons","18",""
"Croatia","2010","Metric tons","16",""
"Croatia","2009","Metric tons","28",""
"Croatia","2008","Metric tons","42",""
"Croatia","2007","Metric tons","63",""
"Croatia","2006","Metric tons","69",""
"Croatia","2005","Metric tons","95.282",""
"Croatia","2004","Metric tons","77.764",""
"Czechia","2016","Metric tons","5518",""
"Czechia","2016","Mil. USD","95.0085072446362",""
"Czechia","2015","Metric tons","5709",""
"Czechia","2015","Mil. USD","82.2806036892118",""
"Czechia","2014","Metric tons","5968",""
"Czechia","2014","Mil. USD","105.07045646152",""
"Czechia","2013","Metric tons","5640",""
"Czechia","2013","Mil. USD","109.296691055759",""
"Czechia","2012","Metric tons","5364",""
"Czechia","2012","Mil. USD","107.11276033081",""
"Czechia","2011","Metric tons","5286",""
"Czechia","2011","Mil. USD","113.811563721706",""
"Czechia","2010","Metric tons","5164",""
"Czechia","2009","Metric tons","4412",""
"Czechia","2009","Mil. USD","64.4704401196034",""
"Czechia","2008","Metric tons","5843",""
"Czechia","2008","Mil. USD","106.726544957532",""
"Czechia","2007","Metric tons","6213",""
"Czechia","2007","Mil. USD","96.5325799510519",""
"Czechia","2006","Metric tons","5705",""
"Czechia","2006","Mil. USD","86.6983591926152",""
"Czechia","2005","Metric tons","6065",""
"Czechia","2005","Mil. USD","85.4850098612467",""
"Czechia","2004","Metric tons","7552",""
"Czechia","2004","Mil. USD","95.2538448817595",""
"Czechia","2003","Metric tons","6983",""
"Czechia","2003","Mil. USD","73.8062320535999",""
"Czechia","2002","Metric tons","8311",""
"Czechia","2002","Mil. USD","72.6972423054577",""
"Czechia","2001","Metric tons","10057",""
"Czechia","2001","Mil. USD","76.6392753193446",""
"Czechia","2000","Metric tons","12478",""
"Czechia","1999","Metric tons","9359",""
"Czechia","1998","Metric tons","12100",""
"Czechia","1997","Metric tons","15932",""
"Czechia","1996","Metric tons","17204",""
"Czechia","1995","Metric tons","16820",""
"Denmark","2016","Metric tons","0","3"
"Denmark","2016","Mil. USD","0","3"
"Denmark","2015","Metric tons","0",""
"Denmark","2015","Mil. USD","0.00089180783127881",""
"Denmark","2012","Metric tons","4191",""
"Denmark","2012","Mil. USD","30.4241241769019",""
"Denmark","2011","Metric tons","4756",""
"Denmark","2011","Mil. USD","34.1264381538545",""
"Denmark","2010","Metric tons","4645",""
"Denmark","2010","Mil. USD","28.0056720438472",""
"Denmark","2009","Metric tons","3758",""
"Denmark","2009","Mil. USD","23.1104423414124",""
"Denmark","2008","Metric tons","1791",""
"Denmark","2008","Mil. USD","14.1840220198351",""
"Denmark","2007","Metric tons","2003.347",""
"Denmark","2007","Mil. USD","14.5634380777415",""
"Denmark","2006","Metric tons","2420",""
"Denmark","2006","Mil. USD","15.7893896050719",""
"Denmark","2005","Metric tons","2354",""
"Denmark","2005","Mil. USD","15.7486105344252",""
"Denmark","2004","Metric tons","2720",""
"Denmark","2004","Mil. USD","18.1153352469264",""
"Denmark","2003","Metric tons","2446",""
"Denmark","2003","Mil. USD","14.6479637221437",""
"Denmark","2002","Metric tons","2541",""
"Denmark","2002","Mil. USD","12.051227947138",""
"Denmark","2001","Metric tons","2032",""
"Denmark","2001","Mil. USD","10.2632311714152",""
"Denmark","2000","Metric tons","2389",""
"Denmark","2000","Mil. USD","12.4039603813409",""
"Denmark","1999","Metric tons","2217",""
"Denmark","1999","Mil. USD","13.1724252605988",""
"Denmark","1998","Metric tons","2831",""
"Denmark","1998","Mil. USD","18.2311834161755",""
"Denmark","1997","Metric tons","3363",""
"Denmark","1997","Mil. USD","22.0346581495255",""
"Denmark","1996","Metric tons","3140",""
"Denmark","1996","Mil. USD","21.4919911255538",""
"Denmark","1995","Metric tons","3124",""
"Denmark","1995","Mil. USD","21.718321423684",""
"Ecuador","2015","Metric tons","228.391",""
"Ecuador","2015","Mil. USD","1.989002",""
"Ecuador","2012","Metric tons","63.573203374",""
"Ecuador","2012","Mil. USD","0.384467",""
"Ecuador","2011","Metric tons","79.932646452",""
"Ecuador","2011","Mil. USD","0.4",""
"Ecuador","2010","Metric tons","1305.387",""
"Ecuador","2008","Metric tons","118",""
"Ecuador","2008","Mil. USD","0.5",""
"Ecuador","2007","Metric tons","1281.701",""
"Ecuador","2007","Mil. USD","1.4",""
"Ecuador","2006","Metric tons","106.375",""
"Ecuador","2006","Mil. USD","0.50531934",""
"Ecuador","2005","Metric tons","170.457",""
"Ecuador","2005","Mil. USD","0.61650302",""
"Ecuador","2004","Metric tons","148.914",""
"Ecuador","2004","Mil. USD","0.50585876",""
"Egypt","2012","Metric tons","1433",""
"Egypt","2012","Mil. USD","8.6133581441639",""
"Egypt","2011","Metric tons","1554",""
"Egypt","2011","Mil. USD","12.147159230869",""
"Egypt","2009","Metric tons","2077",""
"Egypt","2009","Mil. USD","16.7485088213444",""
"Egypt","2008","Metric tons","1799",""
"Egypt","2008","Mil. USD","12.7052324689274",""
"Egypt","2006","Metric tons","4041",""
"Egypt","2006","Mil. USD","22.721648885142",""
"Egypt","2005","Metric tons","3719",""
"Egypt","2005","Mil. USD","11.1622876589854",""
"Egypt","2004","Metric tons","1433",""
"Egypt","2004","Mil. USD","4.47835986599403",""
"Egypt","2003","Metric tons","7947",""
"Egypt","2003","Mil. USD","19.2707928301322",""
"Egypt","2002","Metric tons","2921",""
"Egypt","2002","Mil. USD","8.28816949403659",""
"Egypt","2001","Metric tons","2533",""
"Egypt","2001","Mil. USD","9.05612886987163",""
"Egypt","2000","Metric tons","2962",""
"Egypt","2000","Mil. USD","10.7293961780504",""
"Egypt","1999","Metric tons","5439",""
"Egypt","1999","Mil. USD","30.3406229290921",""
"Estonia","2016","Metric tons","30","3"
"Estonia","2016","Mil. USD","0.685814058322743",""
"Estonia","2015","Metric tons","38",""
"Estonia","2015","Mil. USD","1.10906677817727",""
"Estonia","2014","Metric tons","37",""
"Estonia","2014","Mil. USD","1.32673374046042",""
"Estonia","2013","Metric tons","38",""
"Estonia","2013","Mil. USD","1.32774056786312",""
"Estonia","2012","Metric tons","39.9",""
"Estonia","2012","Mil. USD","1.28486214924642",""
"Estonia","2011","Metric tons","38",""
"Estonia","2011","Mil. USD","1.3901337815643",""
"Estonia","2010","Metric tons","101.4",""
"Estonia","2010","Mil. USD","0.677572866258778",""
"Estonia","2009","Metric tons","610.8",""
"Estonia","2009","Mil. USD","1.95426471853041",""
"Estonia","2008","Metric tons","772.8",""
"Estonia","2008","Mil. USD","2.80519515946336",""
"Estonia","2007","Metric tons","981.9",""
"Estonia","2007","Mil. USD","3.03834586745692",""
"Estonia","2006","Metric tons","1039.7",""
"Estonia","2006","Mil. USD","2.95897060368815",""
"Estonia","2005","Metric tons","1056.6",""
"Estonia","2005","Mil. USD","3.37052759996672",""
"Estonia","2004","Metric tons","1039.3",""
"Estonia","2004","Mil. USD","2.89967175703369",""
"Finland","2016","Metric tons","702",""
"Finland","2016","Mil. USD","16.5922756045825",""
"Finland","2015","Metric tons","698",""
"Finland","2015","Mil. USD","13.3088013381272",""
"Finland","2014","Metric tons","718",""
"Finland","2014","Mil. USD","15.9208048855251",""
"Finland","2013","Metric tons","676",""
"Finland","2013","Mil. USD","18.5883679500836",""
"Finland","2012","Metric tons","754",""
"Finland","2012","Mil. USD","16.7032079402034",""
"Finland","2011","Metric tons","697",""
"Finland","2011","Mil. USD","19.4618729419002",""
"Finland","2010","Metric tons","741",""
"Finland","2010","Mil. USD","17.217517931535",""
"Finland","2009","Metric tons","646",""
"Finland","2009","Mil. USD","16.6702933865694",""
"Finland","2008","Metric tons","552",""
"Finland","2008","Mil. USD","14.6482648842199",""
"Finland","2007","Metric tons","1633",""
"Finland","2007","Mil. USD","21.8986843681032",""
"Finland","2006","Metric tons","2044",""
